country_code,country_name,region,income_level,capital_city,longitude,latitude,is_fragile_or_conflict,gdp_growth_pct,gdp_growth_pct_year,gdp_per_capita_usd,gdp_per_capita_usd_year,population,population_year,pop_growth_pct,pop_growth_pct_year,urban_pop_pct,urban_pop_pct_year,internet_users_pct,internet_users_pct_year,mobile_subs_per100,mobile_subs_per100_year,life_expectancy,life_expectancy_year,inflation_pct,inflation_pct_year,unemployment_pct,unemployment_pct_year,self_employed_pct,self_employed_pct_year,agriculture_pct_gdp,agriculture_pct_gdp_year,poverty_headcount_pct,poverty_headcount_pct_year,business_reg_rating,business_reg_rating_year
KOR,"Korea, Rep.",East Asia & Pacific,High income,Seoul,126.957,37.5323,False,1.00701840291242,2025.0,36226.9663637512,2025.0,51684564,2025,-0.128584337535563,2025,81.1740263306674,2025,97.89563777,2025.0,,,83.6292682926829,2024,2.12309421458659,2025.0,2.683,2025.0,22.6695991993473,2025.0,1.46427275259293,2025.0,0.1,2025.0,,
KWT,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",High income,Kuwait City,47.9824,29.3721,False,2.731825804492,2025.0,32312.3119953634,2025.0,4865298,2025,-0.654851001278566,2025,100.0,2025,100.0,2025.0,,,84.580487804878,2024,2.36195936682045,2025.0,2.181,2025.0,3.16084553293978,2025.0,0.530516126274945,2025.0,,,,
LAO,Lao PDR,East Asia & Pacific,Lower middle income,Vientiane,102.177,18.5826,False,4.53760564766725,2025.0,2324.76353098791,2025.0,7873046,2025,1.31981575540414,2025,40.3129835040701,2025,65.59269714,2025.0,,,69.225,2024,7.74226936553695,2025.0,1.187,2025.0,77.1407502075747,2025.0,16.6175844045764,2025.0,7.1,2025.0,3.5,2025.0
LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Beirut,35.5134,33.8872,True,,,,,5849421,2025,0.745736135898232,2025,90.9602314263044,2025,80.63400269,2025.0,,,77.945,2024,14.597595869611,2025.0,,,28.3782379111056,2025.0,,,5.8,2025.0,,
LBR,Liberia,Sub-Saharan Africa ,Low income,Monrovia,-10.7957,6.30039,False,5.01656107992214,2025.0,915.328972645548,2025.0,5731206,2025,2.08732472424606,2025,56.0819747159338,2025,32.23360062,2025.0,,,62.324,2024,8.31564329402952,2025.0,2.884,2025.0,78.341434071315,2025.0,32.6538305659641,2025.0,33.6,2022.0,2.5,2025.0
LBY,Libya,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,Tripoli,13.1072,32.8578,True,13.3717080516958,2025.0,6448.82415074121,2025.0,7458555,2025,1.04494488295615,2025,87.9112413015221,2025,81.95449829,2025.0,,,71.121,2024,1.84166666666702,2025.0,18.758,2025.0,25.8794267663322,2025.0,1.50083505042772,2025.0,,,,
LCA,St. Lucia,Latin America & Caribbean ,Upper middle income,Castries,-60.9832,14,False,-0.57407528214496,2025.0,14745.8184305461,2025.0,180149,2025,0.225066989889272,2025,29.096571131107,2025,68.20500183,2025.0,,,72.846,2024,2.02709512086274,2025.0,9.452,2025.0,26.7449431374251,2025.0,1.65774357258379,2025.0,0.1,2021.0,3.5,2025.0
LIE,Liechtenstein,Europe & Central Asia,High income,Vaduz,9.52148,47.1411,False,,,,,41024,2025,1.4090617793704,2025,14.6298998993293,2025,98.2641983,2025.0,,,84.2,2024,,,,,,,,,,,,
LKA,Sri Lanka,South Asia,Upper middle income,Colombo,79.8528,6.92148,False,4.9534339114043,2025.0,5002.07904353724,2025.0,21756000,2025,-0.732738211545502,2025,20.4501355167937,2025,54.59,2025.0,,,77.672,2024,-4.76386036960983,2025.0,4.005,2025.0,42.0703000220276,2025.0,8.36247166017662,2025.0,2.7,2025.0,3.5,2025.0
LSO,Lesotho,Sub-Saharan Africa ,Lower middle income,Maseru,27.7167,-29.5208,False,1.98256080770996,2025.0,1088.96276223185,2025.0,2363325,2025,1.1020485314959,2025,44.6695855817109,2025,51.79660034,2025.0,,,57.798,2024,4.27011140706666,2025.0,16.315,2025.0,38.5183732358228,2025.0,6.48594639211087,2025.0,41.9,2023.0,3.5,2025.0
